Dialogue_ID,Speaker,Text,Hedge_Count,Urgency_Count,Sentiment,Label
D001,Agent,Verify details?,0,0,0.0,0
D001,Client,check balance please.,0,0,0.0,0
D001,Agent,Which account number?,0,0,0.0,0
D001,Agent,Verify details?,0,0,0.0,0
D001,Agent,Security check required.,0,0,0.0,0
D001,Client,check balance please.,0,0,0.0,0
D001,Agent,Which account number?,0,0,0.0,0
D001,Client,statement please please.,0,0,0.33,0
D002,Client,statement please please.,0,0,0.33,0
D002,Client,update address please.,0,0,0.0,0
D002,Agent,Security check required.,0,0,0.0,0
D002,Client,check balance please.,0,0,0.0,0
D002,Agent,Can you confirm the amount?,0,0,0.0,0
D002,Agent,Account confirmed.,0,0,0.0,0
D002,Client,change phone number please.,0,0,0.0,0
D002,Agent,Verify details?,0,0,0.0,0
D002,Agent,Processing request.,0,0,0.0,0
D002,Client,change phone number please.,0,0,0.0,0
D002,Client,statement please please.,0,0,0.33,0
D002,Agent,Account confirmed.,0,0,0.0,0
D003,Agent,Security check required.,0,0,0.0,0
D003,Agent,Which account number?,0,0,0.0,0
D003,Agent,Which account number?,0,0,0.0,0
D003,Client,change phone number please.,0,0,0.0,0
D003,Client,recent transactions please.,0,0,0.0,0
D003,Client,check balance please.,0,0,0.0,0
D004,Client,change phone number please.,0,0,0.0,0
D004,Agent,Processing request.,0,0,0.0,0
D004,Agent,Verify details?,0,0,0.0,0
D004,Client,recent transactions please.,0,0,0.0,0
D004,Agent,Which account number?,0,0,0.0,0
D004,Client,check balance please.,0,0,0.0,0
D005,Agent,Verify details?,0,0,0.0,0
D005,Client,recent transactions please.,0,0,0.0,0
D005,Agent,Security check required.,0,0,0.0,0
D005,Agent,Can you confirm the amount?,0,0,0.0,0
D005,Agent,Account confirmed.,0,0,0.0,0
D005,Client,check balance please.,0,0,0.0,0
D005,Client,change phone number please.,0,0,0.0,0
D005,Agent,Which account number?,0,0,0.0,0
D005,Agent,Account confirmed.,0,0,0.0,0
D005,Client,recent transactions please.,0,0,0.0,0
D005,Client,check balance please.,0,0,0.0,0
D006,Agent,Security check required.,0,0,0.0,0
D006,Agent,Security check required.,0,0,0.0,0
D006,Client,check balance please.,0,0,0.0,0
D006,Agent,Which account number?,0,0,0.0,0
D006,Agent,Account confirmed.,0,0,0.0,0
D006,Agent,Which account number?,0,0,0.0,0
D006,Agent,Verify details?,0,0,0.0,0
D006,Client,change phone number please.,0,0,0.0,0
D006,Agent,Security check required.,0,0,0.0,0
D006,Agent,Verify details?,0,0,0.0,0
D006,Client,update address please.,0,0,0.0,0
D007,Client,statement please please.,0,0,0.33,0
D007,Client,change phone number please.,0,0,0.0,0
D007,Client,statement please please.,0,0,0.33,0
D007,Client,update address please.,0,0,0.0,0
D007,Agent,Account confirmed.,0,0,0.0,0
